"Group.1","Group.2","Group.3","Group.4","x"
"../scenariosimul/connect-4Train.csv",15,"multinom","precision",0.528647569224767
"../scenariosimul/covtype.data",15,"multinom","precision",0.641185777408053
"../scenariosimul/HIGGS.csv",15,"multinom","precision",0.595911534357695
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",15,"multinom","precision",0.527627174079839
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",15,"multinom","precision",0.349735350000293
"../scenariosimul/spambase.data",15,"multinom","precision",0.853474160550441
"../scenariosimul/cleankdd_train.csv",2,"svm","precision",0.887095987315911
"../scenariosimul/connect-4Train.csv",2,"svm","precision",0.51498560936975
"../scenariosimul/covtype.data",2,"svm","precision",0.457508935685828
"../scenariosimul/HIGGS.csv",2,"svm","precision",0.552709711959496
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"svm","precision",0.607104149176047
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"svm","precision",0.774636961011569
"../scenariosimul/spambase.data",2,"svm","precision",0.763105684331418
"../scenariosimul/cleankdd_train.csv",4,"svm","precision",0.887095987315911
"../scenariosimul/connect-4Train.csv",4,"svm","precision",0.51498560936975
"../scenariosimul/covtype.data",4,"svm","precision",0.457508935685828
"../scenariosimul/HIGGS.csv",4,"svm","precision",0.552709711959496
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",4,"svm","precision",0.607104149176047
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",4,"svm","precision",0.774636961011569
"../scenariosimul/spambase.data",4,"svm","precision",0.763105684331418
"../scenariosimul/cleankdd_train.csv",7,"svm","precision",0.887095987315911
"../scenariosimul/connect-4Train.csv",7,"svm","precision",0.51498560936975
"../scenariosimul/covtype.data",7,"svm","precision",0.457508935685828
"../scenariosimul/HIGGS.csv",7,"svm","precision",0.552709711959496
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",7,"svm","precision",0.607104149176047
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",7,"svm","precision",0.774636961011569
"../scenariosimul/spambase.data",7,"svm","precision",0.763105684331418
"../scenariosimul/cleankdd_train.csv",11,"svm","precision",0.887095987315911
"../scenariosimul/connect-4Train.csv",11,"svm","precision",0.51498560936975
"../scenariosimul/covtype.data",11,"svm","precision",0.457508935685828
"../scenariosimul/HIGGS.csv",11,"svm","precision",0.552709711959496
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",11,"svm","precision",0.607104149176047
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",11,"svm","precision",0.774636961011569
"../scenariosimul/spambase.data",11,"svm","precision",0.763105684331418
"../scenariosimul/cleankdd_train.csv",15,"svm","precision",0.887095987315911
"../scenariosimul/connect-4Train.csv",15,"svm","precision",0.51498560936975
"../scenariosimul/covtype.data",15,"svm","precision",0.457508935685828
"../scenariosimul/HIGGS.csv",15,"svm","precision",0.552709711959496
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",15,"svm","precision",0.607104149176047
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",15,"svm","precision",0.774636961011569
"../scenariosimul/spambase.data",15,"svm","precision",0.763105684331418
"../scenariosimul/cleankdd_train.csv",2,"xgboost","precision",0.952458277535611
"../scenariosimul/connect-4Train.csv",2,"xgboost","precision",0.597183252854044
"../scenariosimul/covtype.data",2,"xgboost","precision",0.654057270843078
"../scenariosimul/HIGGS.csv",2,"xgboost","precision",0.618583874703011
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"xgboost","precision",0.588681854079258
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"xgboost","precision",0.692354962060925
"../scenariosimul/spambase.data",2,"xgboost","precision",0.911316493699982
"../scenariosimul/cleankdd_train.csv",4,"xgboost","precision",0.952458277535611
"../scenariosimul/connect-4Train.csv",4,"xgboost","precision",0.597183252854044
"../scenariosimul/covtype.data",4,"xgboost","precision",0.654057270843078
"../scenariosimul/HIGGS.csv",4,"xgboost","precision",0.618583874703011
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",4,"xgboost","precision",0.588681854079258
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",4,"xgboost","precision",0.692354962060925
"../scenariosimul/spambase.data",4,"xgboost","precision",0.911316493699982
"../scenariosimul/cleankdd_train.csv",7,"xgboost","precision",0.952458277535611
"../scenariosimul/connect-4Train.csv",7,"xgboost","precision",0.597183252854044
"../scenariosimul/covtype.data",7,"xgboost","precision",0.654057270843078
"../scenariosimul/HIGGS.csv",7,"xgboost","precision",0.618583874703011
